"","X","Range","Year","Province","Ecotype","Range_area","LOW.IMPACT.SEISMIC","PIPELINE","TOTAL","TRANSMISSION.LINE","ROADS_ALL","OTHER","CONVENTIONAL.SEISMIC_ALL","Conventional_seismic_den","Low_impact_seismic_den","Pipeline_den","Transmission_line_den","Roads_den","Other_den","Total_den","Seismic_all","Seismic_all_den"
"1",1,"Banff",2010,"AB","SM_CG",2262.43,0,0,192730,1850,48490,142400,0,0,0,0,0.817704857166852,21.4327073102814,62.9411738705728,85.1871660117661,0,0
"2",7,"Bischto",2010,"AB","B",14358.1,875800,2041900,62884980,0,592850,3601150,55773280,3884.44710651131,60.9969285629714,142.212409719949,0,41.2902821403946,250.809647516036,4379.75637445066,56649080,3945.44403507428
"3",13,"Caribou Mountains",2010,"AB","B",20658.73,7220,0,9581780,0,19760,1737190,7817600,378.416291804966,0.349489053780169,0,0,0.956496357714148,84.0898738693037,463.812635142625,7824820,378.765780858746
"4",19,"Chinchaga_AB",2010,"AB","B",17643.64,843450,4081150,65466960,320320,1153090,5472620,53596320,3037.71330632455,47.8047613757705,231.309979119955,18.1549838922127,65.3544279978508,310.175224613515,3710.51325010032,54439770,3085.51806770032
"5",25,"Cold Lake",2010,"AB","B",6725.86,2538300,2617440,13402340,169650,384410,990890,6701650,996.400460312882,377.394117629567,389.160642653876,25.2235401866824,57.1540293731954,147.325397792996,1992.6581879492,9239950,1373.79457794245
"6",31,"East Side Athabasca",2010,"AB","B",13119.02,10495700,3708090,34519560,199090,567530,3184920,16364230,1247.36680026404,800.03689299963,282.649923546119,15.1756762319137,43.2600910738759,242.771182603579,2631.26056671916,26859930,2047.40369326367
"7",37,"Jasper",2010,"AB","SM_CG",3437.34,0,12460,234350,11810,112330,97750,0,0,0,3.62489599515905,3.43579628433614,32.6793392565181,28.4376872814444,68.1777188174577,0,0
"8",43,"Little Smoky",2010,"AB","B",3083.8,20,1607440,12045770,29140,627050,1660650,8121470,2633.59167261171,0.0064855048965562,521.252999546015,9.44938063428238,203.336792269278,538.507685323302,3906.14501588949,8121490,2633.59815811661
"9",49,"Nipisi",2010,"AB","B",2104.36,71580,536600,4604810,17820,97570,625430,3255810,1547.17348742611,34.0150924746716,254.994392594423,8.46813282898363,46.3656408599289,297.206751696478,2188.22349788059,3327390,1581.18857990078
"10",55,"Red Earth",2010,"AB","B",24702.03,440040,2311180,45040610,71930,1034140,3386840,37796480,1530.09610951003,17.8139205563267,93.5623509484848,2.9119064303622,41.8645755024992,137.107759969525,1823.35662291723,38236520,1547.91003006635
"11",61,"Richardson",2010,"AB","B",7073.9,713650,29240,4267910,6920,130360,1656080,1731660,244.795657275336,100.884943242059,4.13350485587865,0.978243967259927,18.4283068745671,234.11131059246,603.33196680756,2445310,345.680600517395
"12",67,"Slave Lake",2010,"AB","B",1516.23,0,807850,4793470,22700,221320,768900,2972700,1960.58645456164,0,532.801751713131,14.9713433977695,145.967300475522,507.113036940306,3161.43988708837,2972700,1960.58645456164
"13",73,"West Central",2010,"AB","SM_CG",12484.58,3680,1628920,9464570,28000,1372020,2760820,3671130,294.053143958387,0.294763620402128,130.474553409085,2.24276667697271,109.897169147861,221.138396325707,758.100793138415,3674810,294.347907578789
"14",79,"West Side Athabasca",2010,"AB","B",15707.12,1002510,3121430,24875330,202430,635320,1785880,18127780,1154.11227519749,63.8251951981012,198.72707409124,12.8877859212892,40.4478987873016,113.698755723519,1583.69771161104,19130290,1217.93747039559
"15",85,"Yates",2010,"AB","B",5223.44,16200,30240,5886400,0,22930,493990,5323050,1019.06980840213,3.10140443845435,5.78928828511479,0,4.38982739344187,94.5717764538312,1126.92019052578,5339250,1022.17121284058
"16",2,"Banff",2014,"AB","SM_CG",2262.43,0,0,200130,1950,55440,142740,0,0,0,0,0.861905119716411,24.5046255574758,63.0914547632413,88.4579854404335,0,0
"17",8,"Bischto",2014,"AB","B",14358.1,1282810,2211520,65309560,0,969580,4270490,56575170,3940.29641804974,89.3439939824907,154.025950508772,0,67.5284334278212,297.427236194204,4548.62133569205,57857980,4029.64041203223
"18",14,"Caribou Mountains",2014,"AB","B",20658.73,149400,0,10419300,0,505100,2491250,7273550,352.081178271849,7.23180950619907,0,0,24.4497120587761,120.5906655443,504.353365381125,7422950,359.312987778048
"19",20,"Chinchaga_AB",2014,"AB","B",17643.64,763830,4327570,67985720,340640,1908310,7631370,53014000,3004.7087789141,43.2920871203448,245.276484897674,19.3066736795809,108.158520577387,432.528095109626,3853.27064029871,53777830,3048.00086603445
"20",26,"Cold Lake",2014,"AB","B",6725.86,4203220,2781880,15986700,178770,713400,1181230,6928200,1030.08388518346,624.934209156896,413.609560710452,26.5795006140479,106.068220272203,175.625124519392,2376.90050045645,11131420,1655.01809434035
"21",32,"East Side Athabasca",2014,"AB","B",13119.02,15248460,3948700,40865660,211630,931040,3413200,17112630,1304.41374431932,1162.31700233706,300.990470324765,16.1315403132246,70.9687156510166,260.171872594142,3114.99334553953,32361090,2466.73074665638
"22",38,"Jasper",2014,"AB","SM_CG",3437.34,0,12990,236180,13890,119740,89560,0,0,0,3.77908499013772,4.04091535896944,34.8350759598992,26.0550309250758,68.7101072340822,0,0
"23",44,"Little Smoky",2014,"AB","B",3083.8,188810,1672810,13349510,30710,1084470,2217200,8155500,2644.6267591932,61.2264089759388,542.450872300409,9.95849276866204,351.666774758415,718.98307283222,4328.9156235813,8344310,2705.85316816914
"24",50,"Nipisi",2014,"AB","B",2104.36,128910,587000,5002540,18690,173080,736790,3358070,1595.76783440096,61.2585299093311,278.944667262256,8.88156018932122,82.2482845140565,350.125453819689,2377.22633009561,3486980,1657.02636431029
"25",56,"Red Earth",2014,"AB","B",24702.03,2716160,2419770,50469900,75960,1612670,4506620,39138710,1584.43293931713,109.956954954714,97.9583459335123,3.07505091686797,65.2849178792188,182.439257016529,2043.147870843,41854870,1694.38989427185
"26",62,"Richardson",2014,"AB","B",7073.9,3199160,53000,7047470,7290,257890,2088940,1441200,203.734856302747,452.248406112611,7.49233096311794,1.0305489192666,36.4565515486507,295.30244985086,996.263730049902,4640360,655.983262415358
"27",68,"Slave Lake",2014,"AB","B",1516.23,1440,848790,5059510,24080,361130,763180,3060890,2018.75045342725,0.949723986466433,559.802932272808,15.8814955514665,238.176266133766,503.340522216286,3336.90139358804,3062330,2019.70017741372
"28",74,"West Central",2014,"AB","SM_CG",12484.58,65990,1677010,11057670,29580,2066600,3282360,3936140,315.280129567835,5.28572046476533,134.326505176786,2.36932279660189,165.532200522565,262.91312963672,885.706207177174,4002130,320.5658500326
"29",80,"West Side Athabasca",2014,"AB","B",15707.12,6491580,3408070,34170950,239830,1287370,2389520,20354580,1295.88237690933,413.289005240935,216.976122930238,15.2688716964027,81.9609196338985,152.12973479543,2175.50703120623,26846160,1709.17138215026
"30",86,"Yates",2014,"AB","B",5223.44,0,31590,6022980,0,28860,522490,5440030,1041.46501156326,0,6.04773865498599,0,5.5250945736909,100.02795092889,1153.06771016801,5440030,1041.46501156326
"31",3,"Banff",2015,"AB","SM_CG",2262.43,0,0,200130,1950,55440,142740,0,0,0,0,0.861905119716411,24.5046255574758,63.0914547632413,88.4579854404335,0,0
"32",9,"Bischto",2015,"AB","B",14358.1,1282810,2211520,65312820,0,972840,4270490,56575170,3940.29641804974,89.3439939824907,154.025950508772,0,67.7554829678021,297.427236194204,4548.84838523203,57857980,4029.64041203223
"33",15,"Caribou Mountains",2015,"AB","B",20658.73,149400,0,10423620,0,509420,2491250,7273550,352.081178271849,7.23180950619907,0,0,24.6588246228108,120.5906655443,504.562477945159,7422950,359.312987778048
"34",21,"Chinchaga_AB",2015,"AB","B",17643.64,763830,4327570,67990870,340640,1912190,7631370,53015270,3004.78075952581,43.2920871203448,245.276484897674,19.3066736795809,108.378429847809,432.528095109626,3853.56253018085,53779100,3048.07284664616
"35",27,"Cold Lake",2015,"AB","B",6725.86,4210280,2787480,16013730,178770,721660,1181230,6934310,1030.99231919784,625.983889049133,414.442167990413,26.5795006140479,107.296316010146,175.625124519392,2380.91931738097,11144590,1656.97620824698
