YEAR_range,YEAR,GROUP_2014,GROUP_2012,ALL,Boreal,NM,SMC_SG,SMC_NG,SMC_CG,SMC
2000-2001,2000,A,A,733.98,324.72,44.77,43.28,262.58,58.63,364.49
2001-2002,2001,A,A,1665.36,1020.98,42.44,47.69,481.01,73.23,601.94
2002-2003,2002,A,A,874.96,349.91,27.41,91.15,306.59,99.90,497.64
2003-2004,2003,A,A,2276.73,1031.48,565.57,177.24,413.55,88.90,679.68
2004-2005,2004,A,A,1710.00,1083.43,102.36,38.63,402.85,82.74,524.21
2005-2006,2005,A,A,1999.88,792.62,141.84,63.30,528.17,473.95,1065.42
2006-2007,2006,A,A,1269.62,421.45,72.68,57.50,556.66,161.34,775.50
2007-2008,2007,A,A,832.59,231.42,41.77,47.06,370.21,142.12,559.40
2008-2009,2008,A,A,930.66,314.01,61.09,36.45,419.64,99.48,555.56
2009-2010,2009,A,A,1441.64,418.47,203.75,24.46,703.70,91.26,819.42
2010-2011,2010,A,A,1980.95,1320.18,175.82,26.52,390.95,67.48,484.96
2011-2012,2011,A,A,4244.49,3138.45,253.69,44.66,674.51,133.18,852.35
2012-2013,2012,A,A,1049.08,663.49,88.30,45.72,167.80,83.77,297.29
2013-2014,2013,A,B,2073.45,331.23,60.40,45.72,1179.70,456.40,1681.83
2014-2015,2014,A,B,3807.83,2491.43,538.28,49.52,484.92,243.67,778.12
2015-2016,2015,B,B,1960.47,1349.06,180.16,51.79,293.63,85.83,431.25
2016-2017,2016,B,B,1258.75,454.29,28.68,174.20,513.61,87.97,775.78
2017-2018,2017,B,B,2956.79,777.96,1026.18,154.82,914.69,83.14,1152.66
