"","X","Range.ID","Range","Province","Ecotype","Loss","Loss_perc","Loss_rate","Gain","Gain_perc","Net_change","Gain_rate","Harvest","Fire","Other","Range_area","Harvest_perc","Fire_perc","Other_perc","Harv_rate","Other_rate","Fire_rate"
"1",1,"1","Calendar","BC","B",470.82,9.45,0.53,1.14,0.02,-5.08,0,2.47,360.78,36.47,4980.28,0.049595605,7.24417101,0.732288144,0.00330637366666667,0.0488192096,0.482944734
"2",2,"2","Chinchaga_BC","BC","B",595.46,4.28,0.24,62.15,0.45,-0.24,0.04,16.99,205.82,54.87,13923.2,0.122026546,1.478252126,0.394090439,0.00813510306666667,0.0262726959333333,0.0985501417333333
"3",3,"3","Maxhamish","BC","B",135.36,1.9,0.11,26.84,0.38,-1.11,0.03,40.67,62.14,26.27,7124.58,0.570840667,0.872191764,0.36872349,0.0380560444666667,0.024581566,0.0581461176
"4",4,"4","Parker","BC","B",14.65,1.94,0.11,5.04,0.67,0.35,0.06,1.45,2.76,1.4,755.09,0.192030089,0.365519342,0.185408362,0.0128020059333333,0.0123605574666667,0.0243679561333333
"5",5,"5","Prophet","BC","B",106.49,8.89,0.49,7.68,0.64,-0.95,0.05,3.92,38.27,53.63,1197.66,0.327304911,3.195397692,4.477898569,0.0218203274,0.298526571266667,0.2130265128
"6",6,"6","Snake-Sahtaneh","BC","B",299.62,2.49,0.14,20.36,0.17,-1.42,0.01,33.65,185.6,64,12029.43,0.279730627,1.542882747,0.532028533,0.0186487084666667,0.0354685688666667,0.1028588498
"7",7,"7","Atlin","BC","NM",11.92,0.17,0.01,7.87,0.11,0,0.01,0.12,3.92,7.78,7018.57,0.00170975,0.055851833,0.110848791,0.000113983333333333,0.0073899194,0.00372345553333333
"8",8,"8","Carcross","BC","NM",2.04,0.06,0,1.92,0.06,0.01,0,0.05,0.04,1.88,3259.6,0.001533931,0.001227144,0.057675788,0.000102262066666667,0.00384505253333333,8.18096e-05
"9",9,"9","Edziza","BC","NM",77.44,3.24,0.18,1.49,0.06,-1.43,0.01,0.4,47.96,6.45,2388.48,0.016747053,2.007971597,0.270046222,0.0011164702,0.0180030814666667,0.133864773133333
"10",10,"10","Finlay","BC","NM",110.42,1.34,0.07,117.71,1.43,0.11,0.12,30.5,4.1,74.94,8231.96,0.370507145,0.049805879,0.910354278,0.0247004763333333,0.0606902852,0.00332039193333333
